dataset,10,20,50,100,200
7z,0.0,0.0,0.0,0.0,0.27
A2C_Acrobot,0.17,0.23,0.79,0.94,0.97
A2C_CartPole,0.32,0.62,0.62,0.75,0.99
Apache_AllMeasurements,0.0,0.051546,0.443299,1.0,1.0
BDBC,0.0,0.0,0.0,0.36,0.84
BankChurners,0.66,0.61,0.74,0.86,0.96
Car_price_cleaned,0.59,0.73,1.0,1.0,1.0
Data_COVID19_Indonesia,0.38,0.99,0.98,0.98,1.0
FFM-1000-200-0,1.0,0.99,1.0,1.0,1.0
FFM-125-25-0,0.66,0.7,0.93,1.0,1.0
FFM-250-50-0,1.0,1.0,1.0,1.0,1.0
FFM-500-100-0,0.22,0.71,0.94,1.0,1.0
FM-500-100-0,0.38,0.78,0.96,0.98,1.0
FM-500-100-1,0.53,0.72,0.96,1.0,1.0
HSMGP_num,0.0,0.0,0.0,0.0,0.03
HSQLDB,0.0,0.0,0.06,0.86,1.0
Health-ClosedIssues0000,0.71,0.75,0.86,0.88,0.9
Health-ClosedIssues0001,0.0,0.24,0.32,0.32,0.39
Health-ClosedIssues0002,0.11,0.71,0.71,0.71,0.71
Health-ClosedIssues0003,0.0,0.0,0.0,0.44,0.66
Health-ClosedIssues0004,0.19,0.3,0.41,0.44,0.84
Health-ClosedIssues0005,0.62,0.48,0.47,0.53,0.62
Health-ClosedIssues0006,0.01,0.06,0.02,0.08,0.16
Health-ClosedIssues0007,1.0,1.0,1.0,1.0,1.0
Health-ClosedIssues0008,0.03,0.23,0.81,0.83,0.92
Health-ClosedIssues0009,0.49,0.7,0.8,0.83,0.97
Health-ClosedIssues0010,1.0,1.0,1.0,0.98,0.36
Health-ClosedIssues0011,0.66,0.74,0.74,0.74,0.74
Health-ClosedPRs0000,0.0,0.63,1.0,1.0,1.0
Health-ClosedPRs0002,0.55,0.67,0.67,0.67,0.67
Health-ClosedPRs0003,0.48,1.0,0.89,0.57,0.57
Health-ClosedPRs0004,0.64,0.82,0.88,0.89,0.91
Health-ClosedPRs0005,0.55,0.57,0.55,0.56,0.55
Health-ClosedPRs0006,0.42,0.27,0.32,0.9,0.89
Health-ClosedPRs0007,0.27,0.59,0.74,0.77,0.74
Health-ClosedPRs0008,1.0,1.0,1.0,1.0,1.0
Health-ClosedPRs0009,0.58,0.73,0.88,0.95,1.0
Health-ClosedPRs0010,0.91,0.94,0.98,0.99,0.99
Health-ClosedPRs0011,0.34,1.0,0.85,0.92,0.82
Health-Commits0000,0.63,0.63,0.63,0.75,0.87
Health-Commits0001,0.54,0.68,0.68,0.68,0.68
Health-Commits0002,0.71,1.0,0.67,0.97,0.97
Health-Commits0003,0.37,0.71,0.74,0.79,0.92
Health-Commits0004,0.0,0.02,0.01,0.03,0.05
Health-Commits0005,1.0,0.88,0.73,0.7,0.66
Health-Commits0006,0.03,0.37,0.39,0.37,0.45
Health-Commits0007,1.0,0.75,0.64,0.63,0.64
Health-Commits0008,0.1,0.23,0.37,0.78,0.91
Health-Commits0009,0.0,0.01,0.04,0.31,0.66
Health-Commits0010,0.74,0.74,0.82,0.83,0.75
Health-Commits0011,0.3,0.65,0.65,0.65,0.65
LLVM,0.01,0.03,0.45,0.79,0.91
Life_Expectancy_Data,0.07,0.11,0.18,0.0,0.12
Loan,0.76,0.92,0.97,1.0,1.0
Marketing_Analytics,1.0,1.0,1.0,1.0,1.0
Medical_Data_and_Hospital_Readmissions,0.0,0.0,0.0,0.0,0.0
PostgreSQL,0.0,0.0,0.0,0.0,0.0
SQL_AllMeasurements,0.0,0.0,0.0,0.0,0.04
SS-A,0.0,0.0,0.0,0.39,0.94
SS-B,0.23,0.22,0.97,1.0,1.0
SS-C,0.0,0.0,0.17,0.38,0.73
SS-D,0.414141,0.161616,0.69697,1.0,1.0
SS-E,0.01,0.12,0.2,0.34,0.94
SS-F,0.121212,0.161616,0.787879,1.0,1.0
SS-G,0.090909,0.131313,0.828283,1.0,1.0
SS-H,0.55,0.65,0.87,1.0,1.0
SS-I,0.14,0.06,0.45,0.8,0.98
SS-J,0.15,0.19,0.3,0.81,0.99
SS-K,0.0,0.3,0.34,0.61,0.71
SS-L,0.24,0.64,0.8,1.0,1.0
SS-M,0.0,0.0,0.53,0.86,0.99
SS-N,0.0,0.0,0.0,0.01,0.02
SS-O,0.01,0.27,0.47,0.54,0.79
SS-P,0.24,0.57,0.85,1.0,1.0
SS-Q,0.16,0.65,0.88,1.0,1.0
SS-R,0.1,0.24,0.94,0.99,0.99
SS-S,0.1,0.02,0.19,0.22,0.24
SS-T,0.0,0.0,0.04,0.27,0.47
SS-U,0.41,0.58,0.77,0.96,1.0
SS-V,0.25,0.48,0.69,0.84,0.92
SS-W,0.01,0.17,0.38,0.8,0.93
SS-X,0.0,0.29,0.75,0.89,0.98
Scrum100k,0.71,0.96,1.0,1.0,1.0
Scrum10k,0.67,0.93,1.0,1.0,1.0
Scrum1k,0.48,0.9,1.0,0.98,1.0
WA_Fn-UseC_-HR-Employee-Attrition,0.03,0.3,0.59,0.85,0.92
WA_Fn-UseC_-Telco-Customer-Churn,0.07,0.04,0.2,0.36,0.55
Wine_quality,0.07,0.04,0.15,0.34,0.66
X264_AllMeasurements,0.14,0.31,0.53,0.88,0.95
accessories,1.0,1.0,1.0,1.0,1.0
all_players,0.14,0.17,0.3,0.34,0.65
auto93,0.39,0.49,0.9,0.99,0.99
billing10k,0.8,0.99,1.0,1.0,1.0
coc1000,0.78,0.91,0.81,0.77,0.63
dataset120,0.0,0.34,0.23,0.15,0.34
dataset600,0.18,0.03,0.24,0.16,0.11
dconvert,0.0,0.0,0.05,0.42,0.64
deeparch,0.01,0.05,0.08,0.45,0.96
dress-up,1.0,1.0,1.0,0.98,0.99
exastencils,0.0,0.0,0.0,0.01,0.13
home_data_for_ml_course,0.88,0.82,0.92,0.99,1.0
javagc,0.0,0.0,0.0,0.0,0.0
nasa93dem,1.0,1.0,1.0,1.0,1.0
player_statistics_cleaned_final,0.0,0.02439,0.585366,0.585366,0.585366
pom3a,0.09,0.23,0.18,0.18,0.21
pom3b,0.16,0.15,0.1,0.13,0.14
pom3c,0.24,0.49,0.53,0.62,0.76
pom3d,0.02,0.08,0.03,0.01,0.07
redis,0.0,0.0,0.0,0.0,0.03
rs-6d-c3_obj1,0.0,0.0,0.12,0.24,0.71
rs-6d-c3_obj2,0.0,0.0,0.0,0.0,0.04
socks,0.0,0.21,0.29,1.0,1.0
sol-6d-c2-obj1,0.0,0.03,0.0,0.01,0.22
storm,0.0,0.0,0.09,0.05,0.33
student_dropout,0.6,0.72,0.83,1.0,1.0
wallpaper,1.0,1.0,1.0,1.0,1.0
wc+rs-3d-c4-obj1,0.010101,0.0,0.222222,1.0,1.0
wc+sol-3d-c4-obj1,0.0,0.0,0.0,0.79798,0.79798
wc+wc-3d-c4-obj1,0.0,0.0,0.10101,1.0,1.0
wc-6d-c1-obj1,0.04,0.05,0.06,0.08,0.28
x264,0.0,0.09,0.35,0.47,0.49
xomo_flight,0.0,0.0,0.0,0.0,0.01
xomo_ground,0.02,0.0,0.01,0.0,0.04
xomo_osp,0.0,0.01,0.01,0.0,0.03
xomo_osp2,0.0,0.01,0.03,0.05,0.21
